Category,Type,Subtype,Has Backpack,Name,Source,Image Link
Booster,Booster,,False,Armed Resupply Pods,,https://helldivers.wiki.gg/images/Armed_Resupply_Pods_Booster_Icon.svg
Booster,Booster,,False,Concealed Insertion,,https://helldivers.wiki.gg/images/Concealed_Insertion_Booster_Icon.svg
Booster,Booster,,False,Dead Sprint,,https://helldivers.wiki.gg/images/Dead_Sprint_Booster_Icon.svg
Booster,Booster,,False,Experimental Infusion,,https://helldivers.wiki.gg/images/Experimental_Infusion_Booster_Icon.svg
Booster,Booster,,False,Expert Extraction Pilot,,https://helldivers.wiki.gg/images/Expert_Extraction_Pilot_Booster_Icon.svg
Booster,Booster,,False,Firebomb Hellpods,,https://helldivers.wiki.gg/images/Firebomb_Hellpods_Booster_Icon.svg
Booster,Booster,,False,Flexible Reinforcement Budget,,https://helldivers.wiki.gg/images/Flexible_Reinforcement_Budget_Booster_Icon.svg
Booster,Booster,,False,Hellpod Space Optimization,,https://helldivers.wiki.gg/images/Hellpod_Space_Optimization_Booster_Icon.svg
Booster,Booster,,False,Increased Reinforcement Budget,,https://helldivers.wiki.gg/images/Increased_Reinforcement_Budget_Booster_Icon.svg
Booster,Booster,,False,Localization Confusion,,https://helldivers.wiki.gg/images/Localization_Confusion_Booster_Icon.svg
Booster,Booster,,False,Motivational Shocks,,https://helldivers.wiki.gg/images/Motivational_Shocks_Booster_Icon.svg
Booster,Booster,,False,Muscle Enhancement,,https://helldivers.wiki.gg/images/Muscle_Enhancement_Booster_Icon.svg
Booster,Booster,,False,Sample Extricator,,https://helldivers.wiki.gg/images/Sample_Extricator_Booster_Icon.svg
Booster,Booster,,False,Sample Scanner,,https://helldivers.wiki.gg/images/Sample_Scanner_Booster_Icon.svg
Booster,Booster,,False,Stamina Enhancement,,https://helldivers.wiki.gg/images/Stamina_Enhancement_Booster_Icon.svg
Booster,Booster,,False,Stun Pods,,https://helldivers.wiki.gg/images/Stun_Pods_Booster_Icon.svg
Booster,Booster,,False,UAV Recon Booster,,https://helldivers.wiki.gg/images/UAV_Recon_Booster_Booster_Icon.svg
Booster,Booster,,False,Vitality Enhancement,,https://helldivers.wiki.gg/images/Vitality_Enhancement_Booster_Icon.svg
Strategem,Backpack,Guard Dog,True,AX/AR-23 Guard Dog,Engineering Bay,https://helldivers.wiki.gg/images/Guard_Dog_Stratagem_Icon_Background.svg
Strategem,Backpack,K-9,True,AX/ARC-3 K-9,Force of Law,https://helldivers.wiki.gg/images/K-9_Stratagem_Icon_Background.svg
Strategem,Backpack,Hot Dog,True,AX/FLAM-75 Hot Dog,Python Commandos,https://helldivers.wiki.gg/images/Hot_Dog_Stratagem_Icon_Background.svg
Strategem,Backpack,Rover,True,AX/LAS-5 Rover,Engineering Bay,https://helldivers.wiki.gg/images/Rover_Stratagem_Icon_Background.svg
Strategem,Backpack,Dog Breath,True,AX/TX-13 Dog Breath,Chemical Agents,https://helldivers.wiki.gg/images/Dog_Breath_Stratagem_Icon_Background.svg
Strategem,Backpack,Supply Pack,True,B-1 Supply Pack,Engineering Bay,https://helldivers.wiki.gg/images/Supply_Pack_Stratagem_Icon_Background.svg
Strategem,Backpack,Portable Hellbomb,True,B-100 Portable Hellbomb,Servants of Freedom,https://helldivers.wiki.gg/images/Portable_Hellbomb_Stratagem_Icon_Background.svg
Strategem,Backpack,Hover Pack,True,Hover Pack,Borderline Justice,https://helldivers.wiki.gg/images/Hover_Pack_Stratagem_Icon_Background.svg
Strategem,Backpack,Warp Pack,True,LIFT-182 Warp Pack,Control Group,https://helldivers.wiki.gg/images/Warp_Pack_Stratagem_Icon_Background.svg
Strategem,Backpack,Jump Pack,True,LIFT-850 Jump Pack,Hangar,https://helldivers.wiki.gg/images/Jump_Pack_Stratagem_Icon_Background.svg
Strategem,Backpack,Ballistic Shield Backpack,True,SH-20 Ballistic Shield Backpack,Engineering Bay,https://helldivers.wiki.gg/images/Ballistic_Shield_Backpack_Stratagem_Icon_Background.svg
Strategem,Backpack,Shield Generator Pack,True,SH-32 Shield Generator Pack,Engineering Bay,https://helldivers.wiki.gg/images/Shield_Generator_Pack_Stratagem_Icon_Background.svg
Strategem,Backpack,Directional Shield,True,SH-51 Directional Shield,Urban Legends,https://helldivers.wiki.gg/images/Directional_Shield_Stratagem_Icon_Background.svg
